times,home_teams,score_home,score_away,away_teams
19.05. 17:00,Arsenal,2,1,Everton
19.05. 17:00,Brentford,2,4,Newcastle
19.05. 17:00,Brighton,0,2,Manchester Utd
19.05. 17:00,Burnley,1,2,Nottingham
19.05. 17:00,Chelsea,2,1,Bournemouth
19.05. 17:00,Crystal Palace,5,0,Aston Villa
19.05. 17:00,Liverpool,2,0,Wolves
19.05. 17:00,Luton,2,4,Fulham
19.05. 17:00,Manchester City,3,1,West Ham
19.05. 17:00,Sheffield Utd,0,3,Tottenham
15.05. 21:00,Manchester Utd,3,2,Newcastle
15.05. 20:45,Brighton,1,2,Chelsea
14.05. 21:00,Tottenham,0,2,Manchester City
13.05. 21:00,Aston Villa,3,3,Liverpool
12.05. 17:30,Manchester Utd,0,1,Arsenal
11.05. 18:30,Nottingham,2,3,Chelsea
11.05. 16:00,Bournemouth,1,2,Brentford
11.05. 16:00,Everton,1,0,Sheffield Utd
11.05. 16:00,Newcastle,1,1,Brighton
11.05. 16:00,Tottenham,2,1,Burnley
11.05. 16:00,West Ham,3,1,Luton
11.05. 16:00,Wolves,1,3,Crystal Palace
11.05. 13:30,Fulham,0,4,Manchester City
06.05. 21:00,Crystal Palace,4,0,Manchester Utd
05.05. 17:30,Liverpool,4,2,Tottenham
05.05. 15:00,Brighton,1,0,Aston Villa
05.05. 15:00,Chelsea,5,0,West Ham
04.05. 18:30,Manchester City,5,1,Wolves
04.05. 16:00,Brentford,0,0,Fulham
04.05. 16:00,Burnley,1,4,Newcastle
04.05. 16:00,Sheffield Utd,1,3,Nottingham
04.05. 13:30,Arsenal,3,0,Bournemouth
03.05. 21:00,Luton,1,1,Everton
02.05. 20:30,Chelsea,2,0,Tottenham
28.04. 17:30,Nottingham,0,2,Manchester City
28.04. 15:00,Bournemouth,3,0,Brighton
28.04. 15:00,Tottenham,2,3,Arsenal
27.04. 21:00,Aston Villa,2,2,Chelsea
27.04. 18:30,Everton,1,0,Brentford
27.04. 16:00,Fulham,1,1,Crystal Palace
27.04. 16:00,Manchester Utd,1,1,Burnley
27.04. 16:00,Newcastle,5,1,Sheffield Utd
27.04. 16:00,Wolves,2,1,Luton
27.04. 13:30,West Ham,2,2,Liverpool
25.04. 21:00,Brighton,0,4,Manchester City
24.04. 21:00,Crystal Palace,2,0,Newcastle
24.04. 21:00,Everton,2,0,Liverpool
24.04. 21:00,Manchester Utd,4,2,Sheffield Utd
24.04. 20:45,Wolves,0,1,Bournemouth
23.04. 21:00,Arsenal,5,0,Chelsea
21.04. 17:30,Fulham,1,3,Liverpool
21.04. 16:00,Aston Villa,3,1,Bournemouth
21.04. 16:00,Crystal Palace,5,2,West Ham
21.04. 14:30,Everton,2,0,Nottingham
20.04. 20:30,Wolves,0,2,Arsenal
20.04. 16:00,Luton,1,5,Brentford
20.04. 16:00,Sheffield Utd,1,4,Burnley
15.04. 21:00,Chelsea,6,0,Everton
14.04. 17:30,Arsenal,0,2,Aston Villa
14.04. 15:00,Liverpool,0,1,Crystal Palace
14.04. 15:00,West Ham,0,2,Fulham
13.04. 18:30,Bournemouth,2,2,Manchester Utd
13.04. 16:00,Brentford,2,0,Sheffield Utd
13.04. 16:00,Burnley,1,1,Brighton
13.04. 16:00,Manchester City,5,1,Luton
13.04. 16:00,Nottingham,2,2,Wolves
13.04. 13:30,Newcastle,4,0,Tottenham
07.04. 19:00,Tottenham,3,1,Nottingham
07.04. 18:30,Sheffield Utd,2,2,Chelsea
07.04. 16:30,Manchester Utd,2,2,Liverpool
06.04. 18:30,Brighton,0,3,Arsenal
06.04. 16:00,Aston Villa,3,3,Brentford
06.04. 16:00,Everton,1,0,Burnley
06.04. 16:00,Fulham,0,1,Newcastle
06.04. 16:00,Luton,2,1,Bournemouth
06.04. 16:00,Wolves,1,2,West Ham
06.04. 13:30,Crystal Palace,2,4,Manchester City
04.04. 21:15,Chelsea,4,3,Manchester Utd
04.04. 20:30,Liverpool,3,1,Sheffield Utd
03.04. 21:15,Manchester City,4,1,Aston Villa
03.04. 20:30,Arsenal,2,0,Luton
03.04. 20:30,Brentford,0,0,Brighton
02.04. 21:15,West Ham,1,1,Tottenham
02.04. 20:45,Bournemouth,1,0,Crystal Palace
02.04. 20:45,Burnley,1,1,Wolves
02.04. 20:30,Newcastle,1,1,Everton
02.04. 20:30,Nottingham,3,1,Fulham
31.03. 17:30,Manchester City,0,0,Arsenal
31.03. 15:00,Liverpool,2,1,Brighton
30.03. 21:00,Brentford,1,1,Manchester Utd
30.03. 18:30,Aston Villa,2,0,Wolves
30.03. 16:00,Bournemouth,2,1,Everton
30.03. 16:00,Chelsea,2,2,Burnley
30.03. 16:00,Nottingham,1,1,Crystal Palace
30.03. 16:00,Sheffield Utd,3,3,Fulham
30.03. 16:00,Tottenham,2,1,Luton
30.03. 13:30,Newcastle,4,3,West Ham
17.03. 15:00,West Ham,1,1,Aston Villa
16.03. 18:30,Fulham,3,0,Tottenham
16.03. 16:00,Burnley,2,1,Brentford
16.03. 16:00,Luton,1,1,Nottingham
13.03. 20:30,Bournemouth,4,3,Luton
11.03. 21:00,Chelsea,3,2,Newcastle
